"勇氣","Noun","在面對困難時，他展現了極大的(勇氣)去克服挑戰。|即使感到害怕，她依然鼓起(勇氣)站在台上演講。"
"罕見","Adjective","昨晚天空出現了(罕見)的極光現象，吸引了無數攝影師。|這種病例在醫學史上非常(罕見)，目前還沒有標準的治療方法。"
"脆弱","Adjective","新生兒的免疫系統相對(脆弱)，需要細心的照料。|這件瓷器非常(脆弱)，搬運時請務必輕拿輕放。"
"優秀","Adjective","他是一位非常(優秀)的領導者，深受同事們的愛戴。|這間學校培育出了許多(優秀)的工程師與科學家。"
"盲目","Adjective","我們不應該(盲目)跟風購買流行服飾，而應該選擇適合自己的風格。|他在沒有做市場調查的情況下就(盲目)投資，結果損失慘重。"
"奢侈","Adjective","對於忙碌的現代人來說，能安靜地讀一本書簡直是種(奢侈)。|他過著(奢侈)的生活，經常購買名貴的跑車和手錶。"
"寂寞","Adjective","自從孩子出國讀書後，老王常感到生活很(寂寞)。|在這座陌生的城市裡，他感到前所未有的(寂寞)與孤獨。"
"客觀","Adjective","作為一名記者，報導新聞時必須保持(客觀)的中立立場。|請針對這件事提供一些(客觀)的建議，不要夾雜個人情感。"
"頑固","Adjective","他那(頑固)的脾氣讓家人都感到非常頭痛，沒人勸得動他。|儘管證據確鑿，他依然(頑固)地堅持自己沒有做錯。"
"樂觀","Adjective","面對失敗，他始終保持(樂觀)的態度，相信下次會更好。|目前的經濟形勢不容(樂觀)，投資者應保持警覺。"
"深刻","Adjective","那次旅行的經歷給我留下了極為(深刻)的印象。|這篇小說對人性進行了(深刻)的描寫，讀來令人動容。"
"尷尬","Adjective","在派對上叫錯別人的名字是一件非常(尷尬)的事情。|當氣氛變得(尷尬)時，他試著講個笑話來緩和僵局。"
"敏銳","Adjective","攝影師需要具備(敏銳)的觀察力，才能捕捉到動人的瞬間。|他對市場趨勢的觸覺非常(敏銳)，總能搶先發現商機。"
"草率","Adjective","婚姻是一輩子的大事，絕對不能做出(草率)的決定。|由於準備過於(草率)，他的簡報在會上遭到了批評。"
"迷人","Adjective","海邊的黃昏景色非常(迷人)，吸引了許多遊客駐足。|她擁有(迷人)的微笑，總能讓人感到心情愉悅。"
"謙虛","Adjective","儘管獲得了巨大的成就，他依然保持(謙虛)的學習態度。|他表現得非常(謙虛)，總是把功勞歸功於團隊的努力。"
"漫長","Adjective","經過(漫長)的等待，他終於收到了大學的錄取通知書。|在寒冷的北方，冬季總是顯得格外(漫長)且嚴酷。"
"焦慮","Adjective","考試日期一天天逼近，他感到越來越(焦慮)。|長期處於(焦慮)的狀態會對身心健康造成不良影響。"
"平凡","Adjective","他雖然只是一個(平凡)的上班族，卻擁有一個幸福美滿的家庭。|這部電影講述了一個(平凡)人如何成為英雄的感人故事。"
"刻意","Adverb","他今天(刻意)提早出門，就是為了避開上班尖峰時段的車潮。|這場意外看起來並不單純，警方懷疑有人(刻意)破壞了煞車系統。"
"偶爾","Adverb","雖然他平時飲食很清淡，但(偶爾)還是會想吃點炸雞解饞。|我跟大學同學平時很少聯絡，只有在過年期間(偶爾)傳訊息問候。"
"居然","Adverb","這題數學這麼簡單，你(居然)算錯了，真是太粗心了。|我找了這本書好幾個月，沒想到(居然)在自家的閣樓裡找到了。"
"逐漸","Adverb","隨著天氣轉暖，山上的冰雪開始(逐漸)融化。|經過幾個月的練習，他的中文口說能力已經(逐漸)進步了。"
"簡直","Adverb","這家餐廳的服務態度太差，(簡直)讓人無法忍受。|看到偶像出現在面前，她驚訝得(簡直)不敢相信自己的眼睛。"
"竟然","Adverb","他平時看起來很健談，沒想到私底下(竟然)如此內向安靜。|這場球賽原本遙遙領先，最後(竟然)被對手逆轉勝了。"
"稍微","Adverb","這道湯的味道淡了一點，如果能(稍微)加點鹽會更好喝。|請你在這裡(稍微)等一下，我進去拿個東西馬上就出來。"
"特地","Adverb","聽說你生病了，我(特地)煮了雞湯送過來給你補補身體。|為了慶祝結婚紀念日，他(特地)預約了一間高檔的法式餐廳。"
"依然","Adverb","儘管失敗了很多次，他(依然)不放棄，堅持要完成這個夢想。|十年沒見了，這座城市的美景(依然)和記憶中一模一樣。"
"格外","Adverb","今晚的月色(格外)明亮，照得整個庭院如同白晝一般。|在寒冷的冬天裡，一碗熱騰騰的紅豆湯喝起來(格外)幸福。"
"恰好","Adverb","我正想打電話找你，沒想到你就(恰好)走進辦公室了。|這件衣服的大小(恰好)合身，完全不需要修改長度。"
"乾脆","Adverb","既然這台電腦修不好了，(乾脆)買一台性能更好的新電腦吧。|他這個人做事很(乾脆)，從不拖泥帶水，大家都很喜歡跟他合作。"
"幸虧","Adverb","(幸虧)你及時提醒我，否則我就要錯過最後一班高鐵了。|出門前(幸虧)有帶傘，不然現在肯定會被這場大雨淋成落湯雞。"
"難怪","Adverb","他這幾天都在熬夜趕報告，(難怪)今天看起來這麼疲倦。|原來他是職業運動員，(難怪)體能表現比一般人強這麼多。"
"趕快","Adverb","快下雨了，我們(趕快)把晾在外面的衣服收進來吧。|如果你感覺身體不舒服，應該(趕快)去看醫生，不要硬撐。"
"簡直","Adverb","那場地震的威力非常大，(簡直)要把整座城市都給震碎了。|這對雙胞胎長得一模一樣，(簡直)像從同一個模子印出來的。"
"徹底","Adverb","搬家前，我們必須把舊房子裡的雜物(徹底)清理乾淨。|這次的失敗讓他(徹底)反省了自己的傲慢，變得謙虛許多。"
"悄悄","Adverb","趁著大家都在午休，他(悄悄)地離開了座位，不驚動任何人。|春天已經(悄悄)地來到了人間，路邊的花朵都靜靜地盛開了。"
"反覆","Adverb","老師在課堂上(反覆)說明這個文法要點，確保每位學生都聽懂。|他躺在床上(反覆)思考著明天的簡報內容，興奮得睡不著覺。"
"特意","Adverb","為了給太太一個驚喜，他(特意)向公司請假去學校接孩子放學。|這幅畫是名家(特意)為這間飯店創作的，全世界僅此一幅。"
